model,context_window,horizon,return_mae,return_rmse,hit_rate,volatility_ratio,price_mae,price_mape,model_type
chronos_bolt_base,63,1,0.016821922691813058,0.016821922691813058,0.0,,30.537298154830978,1.696422318472917,Real_Chronos
chronos_bolt_base,63,3,0.009567060844555185,0.010903852351620665,0.6666666666666666,0.01195293467279951,19.0452149020457,1.0531173132664198,Real_Chronos
chronos_bolt_base,63,7,0.008999956779619846,0.011306895985106933,0.7142857142857143,0.01238802804321663,29.985353337287147,1.6647197236826818,Real_Chronos
chronos_bolt_base,126,1,0.01616847822260516,0.01616847822260516,0.0,,29.341426372528076,1.629988687991116,Real_Chronos
chronos_bolt_base,126,3,0.00952547102457378,0.010686749223234775,0.6666666666666666,0.026932536596422765,17.24295638525238,0.95384947213968,Real_Chronos
chronos_bolt_base,126,7,0.009013972411037458,0.0112880840832784,0.7142857142857143,0.03443741849729811,28.472236948205527,1.5810184286208093,Real_Chronos
chronos_bolt_base,252,1,0.01599312452999348,0.01599312452999348,0.0,,29.02055082321158,1.6121632588862609,Real_Chronos
chronos_bolt_base,252,3,0.009712366481437347,0.010730731879848273,0.6666666666666666,0.011945410814473938,16.352827879591057,0.9049246673999198,Real_Chronos
chronos_bolt_base,252,7,0.00912731911672397,0.011158076510353818,0.7142857142857143,0.013462377791348127,24.79267611103962,1.377190142309891,Real_Chronos
chronos_bolt_small,63,1,0.016955107640749163,0.016955107640749163,0.0,,30.781006622314408,1.7099609256327097,Real_Chronos
chronos_bolt_small,63,3,0.00941785648764887,0.010872772931720261,0.6666666666666666,0.012773691016853607,19.79763507122713,1.0944797271919893,Real_Chronos
chronos_bolt_small,63,7,0.008963480449985614,0.011409987274426752,0.7142857142857143,0.011577227270930112,31.598915143532036,1.7541353955671832,Real_Chronos
chronos_bolt_small,126,1,0.016301996555919147,0.016301996555919147,0.0,,29.585570812225342,1.6435515144839368,Real_Chronos
chronos_bolt_small,126,3,0.009787038800121904,0.010865037461128668,0.6666666666666666,0.013704947397368487,17.01515940565264,0.9414322410502302,Real_Chronos
chronos_bolt_small,126,7,0.009109693499952722,0.011306486451251173,0.7142857142857143,0.026950143465408572,27.06292429283446,1.502946113663566,Real_Chronos
chronos_bolt_small,252,1,0.016115476160118675,0.016115476160118675,0.0,,29.244640541076706,1.624611996060036,Real_Chronos
chronos_bolt_small,252,3,0.00964510656882543,0.010727958781560059,0.6666666666666666,0.013758452506321748,16.861715364680247,0.932915475691698,Real_Chronos
chronos_bolt_small,252,7,0.009067028444772434,0.01120733988429126,0.7142857142857143,0.014204845796465557,26.108088147606882,1.4500428980128275,Real_Chronos
