model,context_window,horizon,return_mae,return_rmse,hit_rate,volatility_ratio,price_mae,price_mape,num_forecasts,total_samples,max_possible_forecasts,data_utilization,forecast_period_start,forecast_period_end,error_count,error_types,success_rate,model_type
chronos_bolt_base,63,1,0.007342787163972851,0.01009775483605733,0.48760330578512395,0.17201214564727768,12.603344372513078,0.6824367057656351,968,968,968,1.0,2020-04-01,2023-12-29,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_base,63,3,0.007275138684930204,0.010034740508967377,0.5075914423740511,0.1619148986139899,12.597661455565802,0.6823286347603639,966,2898,966,1.0,2020-04-01,2023-12-27,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_base,63,7,0.0072462930852706655,0.010000006730272567,0.510989010989011,0.15589656342496763,12.62965567360519,0.6841771244038867,962,6734,962,1.0,2020-04-01,2023-12-20,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_base,126,1,0.0070625564634123625,0.00978504322609587,0.5016574585635359,0.10308949774266564,12.783472083914788,0.6873808405870404,905,905,905,1.0,2020-06-30,2023-12-29,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_base,126,3,0.007024771527675144,0.009762176123186344,0.5238095238095238,0.1033713232864647,12.77695165609447,0.6872366375795708,903,2709,903,1.0,2020-06-30,2023-12-27,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_base,126,7,0.007038272755053338,0.009781724665679833,0.525027808676307,0.10462205343260414,12.807524635737195,0.6890204842138578,899,6293,899,1.0,2020-06-30,2023-12-20,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_base,252,1,0.006785543235484087,0.009299899420724638,0.49550706033376124,0.05845899739987327,12.475764582497598,0.6737194355896016,779,779,779,1.0,2020-12-23,2023-12-29,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_base,252,3,0.006778232513385546,0.009307540858082495,0.4924924924924925,0.060635034771206374,12.465754456431837,0.6734382707572343,777,2331,777,1.0,2020-12-23,2023-12-27,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_base,252,7,0.006789377846342928,0.009329315669358035,0.5015708741452597,0.06147882828462066,12.497811103845605,0.6753501600530256,773,5411,773,1.0,2020-12-23,2023-12-20,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,63,1,0.007391577673525014,0.010144775058805946,0.4793388429752066,0.1957584402537224,11.850091834897063,0.6416593770859179,968,968,968,1.0,2020-04-01,2023-12-29,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,63,3,0.0072911685732019475,0.010033196216626081,0.5031055900621118,0.17361959350172448,11.845090916266564,0.6415740314316652,966,2898,966,1.0,2020-04-01,2023-12-27,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,63,7,0.007239690196354838,0.00999397770003256,0.5083160083160083,0.1595045777523671,11.868759811731202,0.6430001065203939,962,6734,962,1.0,2020-04-01,2023-12-20,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,126,1,0.007100175293440778,0.009822871526848128,0.5038674033149171,0.13138938788753576,12.302366735166368,0.6614554118949815,905,905,905,1.0,2020-06-30,2023-12-29,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,126,3,0.007040728972601395,0.009771921473214108,0.5134736064968624,0.11901527611873346,12.298492897753327,0.6614310082504553,903,2709,903,1.0,2020-06-30,2023-12-27,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,126,7,0.007044824804511506,0.0097813170076376,0.5156523120928015,0.1111648717153755,12.330203019613045,0.6632585520550236,899,6293,899,1.0,2020-06-30,2023-12-20,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,252,1,0.006795701980091448,0.009319055974476841,0.4993581514762516,0.0916014360952229,12.140769973059474,0.6558174827654074,779,779,779,1.0,2020-12-23,2023-12-29,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,252,3,0.0067690398450919054,0.009302802659995906,0.5079365079365079,0.08248256342641104,12.13148138172803,0.6555658596219281,777,2331,777,1.0,2020-12-23,2023-12-27,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
chronos_bolt_small,252,7,0.006786185286302668,0.00932872807522883,0.5065607096654962,0.07715695265068762,12.164369372018047,0.6575094062081838,773,5411,773,1.0,2020-12-23,2023-12-20,0,{},1.0,Zero_Shot_Chronos_Complete_Fix
