,MAE,RMSE,MAPE,MASE,Directional_Accuracy,Bias,n_predictions,eval_time,time_per_prediction,load_time
Naive-30d,25.92,34.8354876526797,1.5959771873907604,0.9854748603351957,0.0,-3.4760000000000035,50.0,2.8371810913085938e-05,5.674362182617187e-07,
MovingAvg-30d,44.59880000000002,56.139704951130625,2.7492508000435953,1.6956402855369344,40.816326530612244,-9.084399999999992,50.0,0.00014925003051757812,2.9850006103515624e-06,
Naive-63d,18.909998,24.088108821576267,1.1070590704216785,1.0308043220385275,0.0,-1.574000000000001,50.0,3.361701965332031e-05,6.723403930664062e-07,
MovingAvg-63d,25.32119840000001,31.743401294380252,1.4811173199038048,1.3802857488358833,51.02040816326531,-4.165199999999995,50.0,0.00014853477478027344,2.970695495605469e-06,
Naive-126d,17.836000000000002,24.296518269085414,0.9229535929236622,0.9809900101021439,0.0,-3.08,50.0,2.6702880859375e-05,5.340576171875e-07,
MovingAvg-126d,29.556800000000013,37.56669056491404,1.5207211988934668,1.6256405881692677,44.89795918367347,-10.214400000000005,50.0,0.00015020370483398438,3.0040740966796874e-06,
Naive-252d,14.435999999999995,21.407222024356635,0.7886402128556307,0.9972705484280275,0.0,3.34,50.0,2.7418136596679688e-05,5.483627319335937e-07,
MovingAvg-252d,21.787600800000003,29.769818254333707,1.197255539484212,1.5051352589877351,53.06122448979592,9.195599999999999,50.0,0.00015020370483398438,3.0040740966796874e-06,
Chronos-Bolt-Tiny,19.5004130625,23.40107642595189,1.1396587559800238,1.0629884818793507,57.14285714285714,-1.1641123281250112,50.0,0.42589497566223145,0.00851789951324463,0.9552295207977295
Chronos-Bolt-Small,18.529911109374996,22.90259064789926,1.084448045073245,1.010085376980657,53.06122448979592,-1.8089756093750111,50.0,1.3732762336730957,0.027465524673461913,0.9251608848571777
Chronos-Bolt-Base,19.116034156250006,23.636735613374956,1.1210962473304846,1.0420355744352072,48.97959183673469,0.2518495859374889,50.0,4.8721702098846436,0.09744340419769287,0.957566499710083
Horizon-1d,20.485146484375015,25.817243414776765,1.2075527531446772,1.1091658850763169,44.827586206896555,1.4442724609374864,30.0,,,
Horizon-3d,26.315715603298617,32.998177722239305,1.5409324546847818,1.4197118801561346,65.1685393258427,-5.516417100694462,90.0,,,
Horizon-7d,37.577233189174116,49.5639268515296,2.182150405345286,1.7940929152569702,65.07177033492823,-20.03734037853424,210.0,,,
