,MASE,MAE,RMSE,Directional_Accuracy,samples,horizon_days
1,1.3422815615586903,24.404870269237495,33.83010356786909,46.93877551020408,50.0,1.0
3,1.9712023158271987,35.00292112247441,44.64815245326773,40.816326530612244,50.0,3.0
7,3.002248558059791,54.751210438412855,68.61480844886954,38.775510204081634,50.0,7.0
14,4.18224980363824,82.85122213044167,105.03578756186099,22.448979591836736,50.0,14.0
