,MAE,RMSE,MAPE,MASE,Directional_Accuracy,Bias,R_Squared,N_Predictions
Naive,13.531787770419426,19.29720418505909,0.7450074806389719,1.0054359004143485,0.0,-0.3772626931567326,0.9380740262018746,453.0
Seasonal_Naive,30.57770410596027,40.34150779183099,1.6788876381313538,2.2719778038188045,52.21238938053098,-1.8492273730684323,0.7293622882569111,453.0
Moving_Average,20.26900641059602,27.192747308920854,1.1138257419694813,1.5060232289107314,51.991150442477874,-1.1295805739514506,0.8770325309651135,453.0
Linear_Trend,40.439456601752674,51.24802538184451,2.2147912115793678,3.0047235554145786,50.22123893805309,0.443742739251586,0.5632445498128476,453.0
Chronos,14.738191488945228,20.423275928936445,0.8112188667440197,1.095073842538356,46.68141592920354,0.4507410715887085,0.930635881709388,453.0
