Model,MASE_2016_2019,MASE_2020_2021,MASE_Change,Dir_Acc_2016_2019,Dir_Acc_2020_2021
Naive,0.9994631387667084,1.0014148284297015,0.19527380123306787,46.7444120505345,47.18446601941748
Moving_Average,1.582657707144959,1.5168530842024217,-4.1578556528970365,49.65853658536585,47.35812133072407
Seasonal_Naive,2.6419597079716546,2.4577257111826634,-6.973384046437086,50.68359375,47.45098039215686
Linear_Trend,8.180059936110204,5.613549305248678,-31.375205694176834,50.923226433430514,54.757281553398066
