Date,Actual,Prediction,Error
2016-08-29,1327.1,1323.0441,4.055932617187409
2016-08-30,1316.5,1326.7434,10.243408203125
2016-08-31,1311.4,1315.7609,4.360864257812409
2016-09-01,1317.1,1306.8601,10.239892578124909
2016-09-02,1326.7,1313.9963,12.703662109375045
2016-09-05,1354.0,1327.8131,26.1868896484375
2016-09-06,1349.40002,1354.4529,5.0528608593749595
2016-09-07,1349.2,1351.1901,1.9900634765624545
2016-09-08,1341.6,1351.949,10.348974609375091
2016-09-09,1334.5,1344.1221,9.6220703125
2016-09-12,1325.6,1339.1823,13.582250976562591
2016-09-13,1323.7,1327.6654,3.9654052734374545
2016-09-14,1326.1,1324.7645,1.335473632812409
2016-09-15,1318.0,1325.7295,7.7294921875
2016-09-16,1310.2,1317.5481,7.3480957031249545
2016-09-19,1317.8,1307.5333,10.266674804687455
2016-09-20,1318.2,1316.2402,1.9597656250000455
2016-09-21,1331.4,1317.726,13.674047851562591
2016-09-22,1344.7,1330.0781,14.621875000000045
2016-09-23,1341.7,1345.833,4.1330078124999545
2016-09-26,1344.1,1340.347,3.752954101562409
2016-09-27,1330.4,1344.3512,13.951196289062409
2016-09-28,1323.7,1326.326,2.6260498046874545
2016-09-29,1326.0,1322.7688,3.231201171875
2016-09-30,1317.1,1325.079,7.978979492187591
2016-10-03,1312.7,1317.6447,4.9446533203124545
2016-10-04,1269.7,1314.5363,44.836254882812455
2016-10-05,1268.6,1273.3752,4.775244140625091
2016-10-06,1253.0,1275.6707,22.670654296875
2016-10-07,1251.9,1251.4814,0.41855468750009095
2016-10-10,1260.4,1254.6355,5.764501953125091
2016-10-11,1255.9,1263.3651,7.465112304687409
2016-10-12,1253.8,1256.487,2.6870605468750455
2016-10-13,1257.6,1251.4224,6.177636718749909
2016-10-14,1255.5,1253.7827,1.71728515625
2016-10-17,1256.6,1252.0214,4.578637695312409
2016-10-18,1262.9,1252.2043,10.695654296875091
2016-10-19,1269.9,1257.0469,12.853125000000091
2016-10-20,1267.5,1267.1444,0.3555908203125
2016-10-21,1267.7,1266.1838,1.5161621093750455
2016-10-24,1263.7,1265.995,2.2949951171874545
2016-10-25,1273.6,1261.6682,11.931787109374909
2016-10-26,1266.6,1271.8777,5.277685546875091
2016-10-27,1269.5,1263.6243,5.875732421875
2016-10-28,1276.8,1267.2805,9.519482421874955
2016-10-31,1273.1,1273.9585,0.858496093750091
2016-11-01,1288.0,1269.3031,18.6968994140625
2016-11-02,1308.2,1284.824,23.376025390625045
2016-11-03,1303.3,1308.893,5.5929443359375455
2016-11-04,1304.5,1299.7546,4.745361328125
2016-11-07,1279.4,1302.2933,22.89333496093741
2016-11-08,1274.5,1274.3287,0.1712646484375
2016-11-09,1273.5,1273.2227,0.27734375
2016-11-10,1266.4,1273.165,6.765039062499909
2016-11-11,1224.3,1264.7043,40.404345703125045
2016-11-14,1221.7,1220.2898,1.4102050781250455
2016-11-15,1224.5,1221.1537,3.3463134765625
2016-11-16,1223.9,1227.7351,3.835107421874909
2016-11-17,1216.9,1229.7719,12.871850585937409
2016-11-18,1208.7,1220.1798,11.479809570312455
2016-11-21,1209.8,1209.6633,0.13666992187495453
2016-11-22,1211.2,1212.3217,1.1216552734374545
2016-11-23,1189.3,1210.9294,21.629443359375045
2016-11-24,1178.4,1183.6895,5.289453124999909
2016-11-25,1178.19995,1173.8599,4.340086718749944
2016-11-28,1190.8,1179.0066,11.793408203124955
2016-11-29,1190.8,1194.4757,3.6757080078125455
2016-11-30,1173.9,1192.2631,18.36306152343741
2016-12-01,1169.4,1173.0033,3.603295898437409
2016-12-02,1177.8,1165.4847,12.315258789062455
2016-12-05,1176.5,1173.1733,3.32666015625
2016-12-06,1170.1,1175.5779,5.477880859375091
2016-12-07,1177.5,1166.2964,11.20361328125
2016-12-08,1172.4,1175.7148,3.314843749999909
2016-12-09,1161.9,1169.6599,7.759912109374909
2016-12-12,1165.8,1158.4232,7.3767822265624545
2016-12-13,1159.0,1161.4297,2.4296875
2016-12-14,1163.7,1156.6224,7.0775634765625455
2016-12-15,1129.8,1159.4666,29.666552734375045
2016-12-16,1137.4,1129.1404,8.259619140625091
2016-12-19,1142.7,1139.0172,3.6827880859375455
2016-12-20,1133.6,1143.8615,10.261450195312591
2016-12-21,1133.2,1133.7451,0.5451171874999545
2016-12-22,1130.7,1132.9513,2.2512939453124545
2016-12-23,1133.6,1126.7659,6.834130859374909
2016-12-27,1138.8,1133.9701,4.8299072265624545
2016-12-28,1140.9,1135.5358,5.364233398437591
2016-12-29,1158.1,1139.7164,18.38356933593741
2016-12-30,1151.7,1161.6309,9.930859374999955
2017-01-03,1162.0,1155.8646,6.1353759765625
2017-01-04,1165.3,1165.1763,0.12373046874995453
2017-01-05,1181.3,1166.5504,14.749584960937455
2017-01-06,1173.4,1184.4705,11.070458984374909
2017-01-09,1184.9,1177.6671,7.232885742187591
