,Model,MASE,MAE,RMSE,MAPE,Directional_Accuracy,Bias,R_Squared,samples
Naive,Naive,1.0014148284297015,14.065697325581397,20.4449509701192,0.7915958379719842,47.18446601941748,-0.5823643410852714,0.9625862506812045,516
Moving_Average,Moving_Average,1.5168530842024217,21.347851375000005,29.979427363089716,1.2003704371564057,47.35812133072407,-1.4882421875000098,0.9172355365213816,512
Seasonal_Naive,Seasonal_Naive,2.4577257111826634,34.629354403131124,47.983459057342536,1.9491129713428461,47.45098039215686,-3.017221135029354,0.7862343013814284,511
Linear_Trend,Linear_Trend,5.613549305248678,78.84693057088924,98.92118224697542,4.424245617757524,54.757281553398066,-0.6323275627759052,0.12413397249133207,516
