,Model,MASE,MAE,RMSE,MAPE,Directional_Accuracy,Bias,R_Squared,samples
Naive,Naive,0.9994631387667084,7.154466330097083,9.990851812526161,0.5524652258457997,46.7444120505345,-0.4348543689320387,0.9876988773739245,1030
Moving_Average,Moving_Average,1.582657707144959,11.310058483430801,14.743159238591163,0.8735749315619992,49.65853658536585,-1.2376998050682284,0.9727864444237173,1026
Seasonal_Naive,Seasonal_Naive,2.6419597079716546,18.870146439024396,24.526875483467418,1.4606609084480053,50.68359375,-2.458829268292682,0.9243885261617388,1025
Linear_Trend,Linear_Trend,8.180059936110204,58.5553995150761,72.48007932776345,4.495417537138269,50.923226433430514,-0.30369695141090736,0.3525935334329068,1030
